CÓDIGO COMPLETO,REGIÓN,AUTORIDAD AMBIENTAL,RAZÓN SOCIAL,CATEGORÍA,SECTOR ,SUBSECTOR,DESCRIPCIÓN DE LA EMPRESA O NEGOCIO,CADENA PRODUCTIVA,MUNICIPIO,DEPARTAMENTO,AÑO DE VERIFICACIÓN ,VERSIÓN CRITERIOS DE VERIFICACIÓN,PLAN DE MEJORA PARA LLEGAR A NIVEL SATISFACTORIO,Participación Bioexpo ,Etapa Empresarial 
2016FBCCARDER6,CENTRAL,CARDER,LABORATORIOS GELLA,ECOPRODUCTOS INDUSTRIALES,OTROS BIENES Y SERVICIOS VERDES SOSTENIBLES,N.A,"Es una empresa ubicada en el municipio de Santa Rosa de Cabal que diseña, desarrolla, produce y comercializa productos cosméticos artesanales y ecológicos a partir de materia prima de la diversidad colombiana.",Cosméticos,Santa Rosa De Cabal,RISARALDA,2016,V1.2.,No,No reporta ,No Reporta
2016SHFBCCODECHOCÓ1,PACÍFICO,CODECHOCÓ,BOCADITOS DOÑA BETTY,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",No reporta,No reporta,Quibdó,CHOCÓ,2016,PENDIENTE,PENDIENTE,No reporta ,No Reporta
2016FBCCARDER8,CENTRAL,CARDER,BIOTERAPIS SAS ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Bioterapis (Dabejaz) es una empresa familiar vinculada a la crianza de abejas desde 1983. Su  producción era comercializada en fresco a laboratorios y mayoristas, todo cambia cuando con el ayuda del SENA, a través del fondo emprender, dan valor agregado y desarrollan productos apícolas innovadores de altísima calidad y pureza, utilizando como materia prima miel, polen propóleos jalea real y cera de abejas producidas en sus propios apiarios bajo los más exigentes estándares de calidad implementando rigurosamente las BPMA (Buenas Prácticas de Manufactura Apícola).",Apicultura,Pereira,RISARALDA,2016,V1.2.,N.A,2015,No Reporta
2016FBCCARDER9,CENTRAL,CARDER,AGROPECUARIA ORGÁNICA TATAMÁ S.A.S,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO"," La Agropecuaria Orgánica Tatamá es una  empresa fundada en 1998 dedicada al fomento, acopio,  comercialización y  exportación de cafés especiales certificados, basados en la cooperación y formación continua de sus 450 asociados, pequeños agricultores con un promedio de 3 hectáreas c/u, asegurando un crecimiento independiente y sostenido, económicamente viable, ecológicamente saludable y socialmente justo para sus miembros.",Café,Apía ,RISARALDA,2016,V1.2.,N.A,No reporta ,No Reporta
2016FBCCARDER10,CENTRAL,CARDER,MARIPOSARIO AMARANTA DE PEREIRA ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,PRODUCTOS DERIVADOS DE LA FAUNA SILVESTRE,"Amaranta Mariposario, es un criadero de producción intensiva de mariposas donde se  obtienen adultos vivos a partir de estadios tempranos o la producción de estadios tempranos a partir de adultos con capacidad para seguir reproduciéndose en perfecto estado en un medio controlado, que ofrece su espacio para que los visitantes puedan observar en vivo diversas especies de mariposas, conocer acerca de sus ciclos de vida y ecosistemas a los que pertenecen. ",Mariposario,Pereira,RISARALDA,2016,V1.2.,N.A,2015,No Reporta
2016FBCCARDER11,CENTRAL,CARDER,ANANDA INTERNACIONAL S.A.S ,ECOPRODUCTOS INDUSTRIALES,OTROS BIENES Y SERVICIOS VERDES SOSTENIBLES,N.A," Ananda Internacional SAS   nace como una empresa innovadora dedicada a la fabricación y comercialización de productos enfocados a la salud, el bienestar y la belleza a partir de recursos naturales extraídos de los suelos de la región del triángulo del café. Sus productos son elaborados con altos estándares de calidad, fabricados a base de Aloe Vera y conservando al máximo sus propiedades y riqueza.",Salud,Pereira,RISARALDA,2016,V1.2.,N.A,No reporta ,No Reporta
2016FBCCARDER12,CENTRAL,CARDER,ASOCIACIÓN AGROEMPRESARIAL DE JOVENES DE OCCIDENTE -ASOGROJOC-,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO"," La Asociación Agroempresarial de Jóvenes de Occidente - ASOGROJOC- es una asociación de 20 jóvenes del municipio de Balboa que se constituyó con el fin de promover y mejorar las condiciones económicas dentro de los esquemas agroempresariales, buscando ser sostenibles y productivos.  Actualmente, están incursionando en el cultivo de la penca de sábila de forma orgánica, la cual esta siendo vendida en mata o en colinos.  Están en la exploración de nuevos mercados para mejorar la comercialización de su producto y recursos para poder extraer el cristal de sábila y tener este otro producto transformado para comercializar. ",Sábila ,Balboa,RISARALDA,2016,V1.2.,N.A,No reporta ,No Reporta
2016FBCCARDER14,CENTRAL,CARDER,ASOCIACIÓN DE VICTIMAS DE BALBOA - ASOVICBAL- ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"La Asociación de victimas de Balboa - ASOVICBAL - esta compuesta por 80 socios, quienes vienen trabajando desde hace mas de 4 años en la mesa municipal de victimas y deciden constituirse legalmente hace aproximadamente 6 meses y se han venido dedicando a ofrecer servicios de Ecoturismo en el municipio de Balboa - Risaralda, involucrando a los miembros de la Asociación en la realización de recorridos guíados, preparación de alimentos tradicionales, actividades de recreación, mercados agroecológicos, además de la sensibilización de los turistas y de la comunidad en general, acerca de la historia, los procesos agrícolas y el capital ambiental del municipio.",Ecoturismo,Balboa,RISARALDA,2016,V1.2.,N.A,No reporta ,No Reporta
2016FBCCARDER15,CENTRAL,CARDER,SENDEROS ORGÁNICOS BRISAS DEL CAUCA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Senderos Orgánicos Brisas del Cauca se encuentra ubicado en el Paisaje Cultural Cafetero a 18 km del municipio de Marsella, en la vereda Buenavista sector La Cabaña en Marsella, municipio verde de Colombia,  lleno de colorido, de paisaje y muy comprometido con el medio ambiente,  la amabilidad de sus habitantes y la biodiversidad hacen de este municipio un lugar de gran interés para los turistas.  Ofrece pasadía con refrigerio, almuerzo, recorrido y proceso del CHOCÓlate y para pasar la noche ofrece cómodas habitaciones, 3 alimentaciones del día, hidratación, proceso del CHOCÓlate.  Además produce y comercializa café y CHOCÓlate orgánico.",Ecoturismo,Marsella,RISARALDA,2016,V1.2.,N.A,2015,No Reporta
2016ONVSCODECHOCÓ1,PACÍFICO,CODECHOCÓ,ARMATTA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,"ARMATTA, La idea nace después de recibir una capacitación en el manejo de la fibra damagua y cabecinegro, por parte de la familia castro Urrutia; ello le despertó la pasión por la elaboración de artesanías con estos materiales. La empresa se dedica a la producción de accesorios (bisutería), bolsos, correas, llaveros, gorras, aplicaciones a prendas de vestir. Todos los artículos elaborados por Armatta son con retales de fibras naturales, o sea hacen aprovechamiento de los recortes que desechan otros artesanos de la región.",Artesanías,Quibdó,CHOCÓ,2016,V1.2.,No,No reporta ,No Reporta
2016ONVSCODECHOCÓ2,PACÍFICO,CODECHOCÓ,DELEITES EL TRIGAL,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Fue creado con el proposito de satisfacer su paladar; en el marco de ello produce y comercializa producto a base de harinas tradionales y mezclas con harinas de la región, como popocho y achin, ademas jugos naturales con frutas de la región endulzados con estevias, se cuenta con tres puntos de ventas en la ciudad. Cuenta con una ventaja comparativa ya que el punto de venta principal esta ubicado cerca a la zona hotelera del la ciudad y al comando de policia CHOCÓ. ",Harinas,Quibdó,CHOCÓ,2016,V1.2.,No,No reporta ,No Reporta
2016ONVSCODECHOCÓ3,PACÍFICO,CODECHOCÓ,ASOCIACIÓN DE PESCADORES ARTESANALES DEL VALLE CHOCÓ - LOS PIQUEROS,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,PRODUCTOS DERIVADOS DE LA FAUNA SILVESTRE,"El negocio en piqueros consiste en realizar pesca artesanal de manera sostenible en el territorio de la ZEPA y la ZEM, venta del pescado fresco, transformación en ahumado, embutidos, empacados al vacío y venta al consumidor final.",Pesca,Quibdó,CHOCÓ,2016,V1.2.,N.A,No reporta ,No Reporta
2016ONVSCODECHOCÓ4,PACÍFICO,CODECHOCÓ,ASOCIACIÓN DE MICROEMPRESARIAS DE VILLA CONTO Y PATO - ASOMIPIVA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,"Asociación de mujeres sin ánomo de lucro, dedicadas a la elaboración y comercialización de artesanias con fibras naturales de la región.",Artesanías,Rio quito,CHOCÓ,2016,V1.2.,N.A,No reporta ,No Reporta
2016ONVSCODECHOCÓ5,PACÍFICO,CODECHOCÓ,AGROINDUSTRIA DEL PACÍFICO,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,"Agroindustria del Pacífico es una empresa dedicada a la transformación de productos de la biodiversidad con métodos sostenibles y sustentables apoyando el comercio justo con productos como: Chocolate, Achiote, Cúrcuma y derivados del borojó, primipasas. También ofrece servicios y asesorías en desarrollo productivo, comercial y manejo de marca.",Alimentos,Quibdó,CHOCÓ,2016,V1.2.,N.A,No reporta ,No Reporta
2016ONVSCODECHOCÓ6,PACÍFICO,CODECHOCÓ,COOPERATIVA AGROINDUSTRIAL DEL VALLE - COOAGROINDUVALLE,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,"COOAGROINDUVALLE es una empresa asociativa que se dedica a producir, transformar y comercializar productos de la diversidad Solaneña, específicamente del corregimiento del Valle.",Productos medicinales,Bahía solano,CHOCÓ,2016,V1.2.,N.A,No reporta ,No Reporta
2016ONVSCODECHOCÓ7,PACÍFICO,CODECHOCÓ,AGROINSUMOS VALOYES,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,Agroinsumos Valoyes  se dedica a la transformación y comercialización de frutas nativas del Chocó Biogeográfico y a la prestación de servicio de asistencia técnica agroempresarial a pequeños agricultores e instituciones del departamento del CHOCÓ.,Frutas,Quibdó,CHOCÓ,2016,V1.2.,N.A,No reporta ,No Reporta
2016ONVSCODECHOCÓ8,PACÍFICO,CODECHOCÓ,CORPORACIÓN RIOSUCIO VIVE,ECOPRODUCTOS INDUSTRIALES,APROVECHAMIENTO Y VALORACIÓN DE RESIDUOS,N.A,"Riosucio vive es una organización sin ánimo de lucro que tiene como objetivo posesionarse en el mercado artesanal mediante el establecimiento de una unidad productiva para el manejo y transformación de los residuos de la madera en artesanías. Está integrada por jóvenes, adulto mayor, mujeres cabeza de familia, personas con discapacidad y población LGTBI.",Artesanías,Rio sucio,CHOCÓ,2016,V1.2.,N.A,No reporta ,No Reporta
2016ONVSCORPONARIÑO8,PACÍFICO,CORPONARIÑO,SERGIO IVÁN GIL ARANA,ECOPRODUCTOS INDUSTRIALES,APROVECHAMIENTO Y VALORACIÓN DE RESIDUOS,N.A,Producción de lomitos de atún enlatados ,Alimentos,Tumaco,NARIÑO,2016,V1.2.,N.A,No reporta ,No Reporta
2016ONVSCODECHOCÓ11,PACÍFICO,CODECHOCÓ,LA GRANJA DE DOÑA PACHITA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO"," Dedicada a la produccion de abono orgánico a partir de aserrín de madera y cascarillas de arroz, como parcela demostrativa se tiene plantas aromáticas y medicinales (albahaca, poleo, cilantro, orégano), ornamentales (veraneras, sábila, quereme, heliconias, cuernos, etc.), alimenticias (achín, yuca, plátano) y producción porcina; la cual es la fuente para la producción de gas metano.",Abono Orgánico,Quibdó,CHOCÓ,2016,V1.2.,N.A,No reporta ,No Reporta
2016ONVSCODECHOCÓ12,PACÍFICO,CODECHOCÓ,ARTESANIAS LEO QUIBDÓ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,"Es una famiempresa con mas de 35 años de experiencia galordonados a nivel local, nacional e internacional; se elaboran artesanias en fibras de palma y cortezas de arbol, los articulos elaborados son bolsos, sombreros, cuadros, carteras, flores, subenires en general.",Artesanías,Quibdó,CHOCÓ,2016,V1.2.,N.A,No reporta ,No Reporta
2016ONVSCODECHOCÓ13,PACÍFICO,CODECHOCÓ,KIPHARA TE ETNOALDEA TURISTICA EMBERA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA," Es una aldea Embera comunitaria al servicio del público que ofrece alojamiento, alimentación, senderismo, demostraciones culturales, artesanías, paisajismo, rituales curativos (rituales y baños con plantas nativas).",Ecoturismo,Nuquí,CHOCÓ,2016,V1.2.,N.A,No reporta ,No Reporta
2016ONVSCODECHOCÓ14,PACÍFICO,CODECHOCÓ,PICONEGRO,ECOPRODUCTOS INDUSTRIALES,APROVECHAMIENTO Y VALORACIÓN DE RESIDUOS,N.A," Piconegro es una empresa dedicada al diseño y desarrollo de accesorios de lujo a traves del aprovechamiento de residuos de madera y rectales de cuero, que son empleados para fabricar productos como corbatines, bolsos o carteras y cargaderas",Artesanías,"Palmira, Quibdó",CHOCÓ,2016,V1.2.,N.A,No reporta ,No Reporta
2016ONVSCODECHOCÓ15,PACÍFICO,CODECHOCÓ,ASOJOYEROS,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,"Elaboración y comercialización de joyas elaboradas a mano, con joyas de oro con cero (0) impacto ambiental (masamorreo), relacionadas con la biodiversidad del Pacífico Colombiano. Además se realiza comercialización de artesanías en Werregue, elaboradas por los indígenas Wounan del Alto San Juan y artesanías elabradas por los Emberas de todo el CHOCÓ en Werregue y Madera Okendo. Artesanías en chaquiras elaboradas por los indígenas Wounan y Emberas del CHOCÓ y todo el PACÍFICO Colombiano.",Artesanías,Quibdó,CHOCÓ,2016,V1.2.,N.A,No reporta ,No Reporta
2016FBCCORALINA7,CARIBE,CORALINA,"2 OCEANOS E.U. ""DIVER STATION""",BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Esta organización presta servicios de buceo recreativo, buceo de recolección de residuos sólidos. La filosofía es que los buzos en su cercanía con el fondo marino, pueden hacer muchas cosas por el ecosistema como rehabilitar espacios ecosistémicos, recuperación del fondo marino (ayudar al proceso natural), jardinería de corales. Sus clientes son de perfil medio alto. En conclusión prestan servicios de: planes de voluntariado para la conservación, buceo de primer nivel, buceo para certificarse, buceo recreativo y fotografía submarin.",Turismo,San Andrés,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2016,V1.2.,N.A,No reporta ,No Reporta
2016FBCCORALINA1,CARIBE,CORALINA,PROVIDENCE SWEET BLACK CRAB ASOCIATION ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Providencia (isla) es un municipio perteneciente al departamento Archipiélago de San Andrés , Providencia y Santa Catalina. Fue fundado en 1629 y tuvo su erección en 1692. Tiene un área total de 18 km2. Su temperatura promedio son 26ºc. ASOCRAB es una asociación  sin ánimo de lucro que  desarrolla actividades económicas, sociales y productivas en armonía con el medio ambiente y la condición de reserva de Biosfera del municipio para redundar en la calidad de vida de sus asociados y la comunidad de procesadores de cangrejo negro. 

La captura y despulpe de cangrejo negro es una actividad ancestral, que incentiva la participación de toda la familia. Por un lado, los hombres se encargan de la captura y de preparar el cangrejo para su despulpe. Así, luego de ser despulpado por las mujeres; las partes del cangrejo (la carne de cangrejo, su grasa, muelas y patas) se hacen protagonistas de exquisitos platos, así como de la elaboración de artesanías.
En épocas de veda los productores y despulpadores de Cangrejo Negro de Providencia no cuentan con un oficio estable para mantener su familia,  cuentan con una sede en el cual tienen proyectado vender gastronomía local con base al cangrejo negro, mientras dure el proceso para la apertura de la sede  las familias capturan o compran y transforman de manera individual el producto en sus hogares y un porcentaje del producto se comercializa directamente por la asociación(se acopian en la casa de uno de sus miembros) y el restante por la familia productora. Su mercado principal son los restaurantes y hoteles locales.  Han establecido alianzas comerciales en San Andrés con algunas pesqueras y en el supermercado Supertodo.
",Cangrejo,Providencia,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2016,V1.2.,Sí,No reporta ,No Reporta
2016FBCCORALINA2,CARIBE,CORALINA,ASOCIACIÓN FUENTE PESQUERA BOTTOM HOUSE - ASOPESBOTH ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Es una organización sin ánimo de lucro, que se agrupa para desarrollar proyectos y actividades económicas, sociales y productivas en armonía con el desarrollo sostenible de la reserva de la Biosfera (Seaflowers) y que redunden en el mejoramiento de la calidad de vida de sus asociados y la comunidad de pescadores artesanales del Archipielago. Después de estar siendo beneficiados por UNODC cuentan con  7 lanchas  de 18 pies y una lancha de 23 pies . Recibieron en donación un terreno en el cual tienen proyectado la construcción de un centro de acopio. Mintras tanto se realizó la adecuación de un local en el cual se acopia el pescado de sus asociados.  El pescado negro es el que se comercializa mayormente debido a que culturalmente los pescadores vinculados a esta asociación realizan sus faenas en las zonas mas llanas del arrecife. Tienen clientes locales como hoteles y restaurantes y dos clientes en San Andrés que comercializan sus productos, adicionalmente le venden el producto pesquero a la comunidad del barrio (Bottom House)",Pesca Artesanal,Providencia,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2016,V1.2.,Sí,No reporta ,No Reporta
2016FBCCORALINA3,CARIBE,CORALINA,HOTEL PIRATA MORGAN ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"El Hotel Morgan empezó hace más de 30 años como una Posada Nativa. Vieron la necesidad de ir creciendo y asesorándose montaron el hotel, hoy en día se tienen 22 habitaciones abiertas al público, tienen 2 salones de eventos, uno para 40 personas y otro para 200 personas. También cuenta con el Restaurante Rosa del Viento que le presta servicio al hotel y al público, todas las habitaciones tienen terraza. El hotel genera 13 empleos, promociona el ecoturismo y la conservación del medio ambiente.",Hotelería,Providencia,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2016,V1.2.,Sí,No reporta ,No Reporta
2016ONVSCORPONARIÑO14,PACÍFICO,CORPONARIÑO,ASOCIACIÓN AGROPECUARIA LACTIFRUTI,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",Producción y comercialización de leche,Lácteos,Buesaco,NARIÑO,2016,V1.2.,N.A,No reporta ,No Reporta
2016FBCCORALINA4,CARIBE,CORALINA,HOTEL POSADA ENILDA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Providencia (isla) es un municipio pertenenciente al departamento archipielago de san andres , providencia y santa catalina. Fue fundado en 1629 y tuvo su ereccion en 1692. Tine un area total de 18 km2. Su temperatura promedio son 26ºc. Una de las principales actividades economicas es el escoturismo razon por la cual durante la ultima decada se han creado por iniciativa de la comunidad las posadas nativas. Son casa de la poblacion raizal que se han acondicionado para recibir turistas nacionales y extranjeros y su objetivo principal es que los visitantes interactuen con las costumbres raizales y la naturaleza que se encuentra en los ecosistemas marinos y terrestres. Esta posada se encuentra ubicada en el sector de agua mansa, inició como una posada nativa y ha evolucionado a categoría de hotel, tiene 20 habitaciones, trabaja bajo la modalidad de bed and breakfast. Tiene 2 habitaciones sencillas, 10 dobles, 4 cuadruples y 4 triples. En las noches hay servicio de restaurante con base en la gastronomía raizal (pescado, cangrejo, caracol). Indica la gerente que se esmeran por prestar el mejor servicio y que los turistas tengan la mejor experiencia. Se esmeran por concientizar a las personas para que cuiden el medio ambiente y conozcan la flora y fauna de la isla en recorridos terrestres como the peak y nauticos como cayo cangrejo en el parque natural mc bean lagoon.",Hotelería,Providencia,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2016,V1.2.,Sí,No reporta ,No Reporta
2016FBCCORALINA5,CARIBE,CORALINA,POSADA NATIVA MANCHINEEL ROAD ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Providencia (isla) es un municipio pertenenciente al departamento archipielago de san andres , providencia y santa catalina. Fue fundado en 1629 y tuvo su ereccion en 1692. Tine un area total de 18 km2. Su temperatura promedio son 26ºc. Una de las principlaes actividades economicas es el escoturismo razon por la cual durante la ultima decada se han creado por iniciativa de la comunidad las posadas nativas. Son casa de la poblacion raizal que se han acondicionado para recibir turistas nacionales y extranjeros y su objetivo principla es que los visitantes interactuen con las costumbres raizales y la naturaleza que se encuentra en los ecosistemas marinos y terrestres. Esta posada se encuentra ubicada en el sector de bottom house cerca a la playa de manzanillo , su servicio lider es el alojamiento, tinene dos habitaciones en la que puede hospedar en total hasta 5 personas , conserva la arquitectura tradicional en cuanto al techo de 4 aguas y los colores vivos en la infraestructura y trabaja la modalidad de bed and break fast. Es un negocio familiar en el cual los hombres se encargan del mantenimiento y acompañar a turistas en jornadas de pesca artesanal y snorkeling. La posada tiene alianzas con empresas de alquiler de motos, carritos de golf, prestadores de servicios de cabalagatas , centro de scuba diving y guias ecoturisticos que prestan sus servicios en the peak y manchaneel road los cuales son senderos ubicados en el mismo sector. Bottom house es uno de los sectores mas tradicionales de la isla donde se conserva parte de la historia y la cultura local como es el conocimientos de rondas, medicinas y juegos ancestrales. En esta posada los visitantes pueden jugar trompo u otros juegos con los niños y niñas que viven cerca a la misma. ",Hotelería,Providencia,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2016,V1.2.,Sí,No reporta ,No Reporta
2016FBCCORALINA6,CARIBE,CORALINA,POSADA ECO OCEAN VIEW,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Providencia (isla) es un municipio pertenenciente al departamento archipielago de san andres , providencia y santa catalina. Fue fundado en 1629 y tuvo su ereccion en 1692. Tiene un area total de 18 km2. Su temperatura promedio son 26ºc. Una de las principales actividades económicas es el ecoturismo razon por la cual durante la ultima decada se han creado por iniciativa de la comunidad las posadas nativas, son casas de la poblacion raizal que se han acondicionado para recibir turistas nacionales y extranjeros y su objetivo principal es que los visitantes interactúen con las costumbres raizales y la naturaleza que se encuentra en los ecosistemas marinos y terrestres. Esta posada se encuentra ubicada en el sector de lazy hill y cuenta con una infraestructura tipica en madera pulida, con 4 habitaciones con tv , nevera, baño privado. De estas 1 habitacion es doble y 2 son triples. Incluye servicio de desayuno. Trabaja en alianza con prestadores de servicios de alquiler de transporte, lanchas para dar la vuelta a la isla, realizar senderismo entre otros. Brinda un ambiente familiar y tranquilo para interactuar con la naturaleza y la cultura local. ",Hotelería,Providencia,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2016,V1.2.,Sí,No reporta ,No Reporta
2016FBCCORALINA8,CARIBE,CORALINA,ISLAND ORGANIC STEW FRUIT,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,"Esta organización nace con el objetivo de recuperar la tradición raizal de elaborar en las casas dulces tradicionales, a partir de las frutas que están en temporada. La empresaria produce dulce de grosella, ciruela, icaco, grosella en almibar, aji casero, mermeladas de guayaba, utilizando frutas de la Isla, de cosecha, naturales, que se producen de forma orgánica. Vende en el Aeropuerto de la Isla, a personas naturales y envía producto a Bogotá al reconocido restaurante de Leo Cocina y Cava.",Alimentos,Providencia,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2016,V1.2.,Sí,No reporta ,No Reporta
2016FBCCORALINA9,CARIBE,CORALINA,SONNY DIVE SHOP,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Fue el primer centro de buceo en Providencia, tiene aproximadamente 35 años desde que el Sr. Luis Humberto Arenas lo fundó. Los servicios que presta la empresa son: alquiler de equipos para buceo, salidas de buceo y cursos de buceo, excursiones subacuáticas, fotografía subacuática, alquiler de botes, venta de equipos. La organización se ajusta a los diferentes tipos y perfiles de clientes, en gran medida el perfil depende de la experiencia en buceo de la personas, van desde personas que no saben bucear, pasando por novatos, con experiencia intermedia y expertos. Indica el señor Arenas que el buceo es una actividad de contemplación del ecosistema marino y que el como instructor y buzo guía, al igual que se equipo de trabajo debe velar básicamente por 3 cosas, la primera es la seguridad del buzo, la segunda la conservación y protección del ecosistema marino y la tercera la de velar por la completa satisfacción del buzo - turista.",Turismo,Providencia,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2016,V1.2.,Sí,No reporta ,No Reporta
2016FBCCORALINA10,CARIBE,CORALINA,HEALTHY GARDEN,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Huerta hidropónica productiva y demostrativa , que surge por el relevo generacional del bisabuelo de la propietaria y como alternativa económica para la familia.",Agropecuario,San Andrés,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2016,V1.2.,Sí,No reporta ,No Reporta
2016ONVSCVS2,CARIBE,CVS,ACELUZ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,"Es una empresa que se dedica a la trasformación y aprovechamiento del tallo “Cepa” de la palma de Plátano, para realizar artesanias.",Artesanías,San Bernardo del viento,CÓRDOBA,2016,V1.2.,N.A,No reporta ,No Reporta
